"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"pok's NPC soldats!","pok_npc","/minecraft/mc-mods/poks-npc-soldats/download/4598956","191","Jun 17, 2023","Jun 20, 2023","56.70 KB","1.19.2","Forge","Mods, Technology, Mobs, MCreator"
"Alternate Phantom Membrane","Arrhy","/minecraft/mc-mods/alternate-phantom-membrane/download/4593455","802","Jun 17, 2023","Jun 17, 2023","6.32 KB","1.19.4","Forge","Mods, Miscellaneous, MCreator"
"Cute Penguins","FnafyyBoyy","/minecraft/mc-mods/cutepenguins/download/4593756","1.3K","Jun 17, 2023","Jun 17, 2023","41.55 KB","1.19.2","Fabric","Mods, MCreator, Mobs"
"Omniconfig","CrucibleMC","/minecraft/mc-mods/omniconfig/download/4662704","81","Jun 17, 2023","Jul 25, 2023","166.11 KB","1.12.2","Forge","Mods, API and Library"
"Wooden cog","ChauveDev","/minecraft/mc-mods/wooden-cog/download/4963479","15.5K","Jun 17, 2023","Dec 17, 2023","781.77 KB","1.20.1","Forge","Mods, Automation, Create, Processing"
"tons of money","krypokt","/minecraft/mc-mods/tons-of-five-dollar-bucks/download/5032059","43","Jun 17, 2023","Jan 14, 2024","23.23 KB","1.20.1","Fabric","Mods, MCreator, Miscellaneous"
"Border Survival","PixelXfan","/minecraft/mc-mods/border-survival/download/4722837","390","Jun 17, 2023","Aug 26, 2023","36.37 KB","1.19.2","Forge","Mods, Miscellaneous"
"Elden Craft","pyroplay_twitch","/minecraft/mc-mods/elden-craft/download/4753325","2.9K","Jun 17, 2023","Sep 15, 2023","979.85 KB","1.19.2","Forge","Mods, Cosmetic, World Gen, Mobs, Adventure and RPG, Armor, Tools, and Weapons"
"Sanity: Descent Into Madness","croissantnova","/minecraft/mc-mods/sanity-descent-into-madness/download/4633000","568.1K","Jun 17, 2023","Jul 9, 2023","5.77 MB","1.18.2","Forge","Mods, Mobs, Armor, Tools, and Weapons, Adventure and RPG, Magic"
"MonsterLevel","mlus","/minecraft/mc-mods/monsterlevel/download/4593144","392","Jun 17, 2023","Jun 17, 2023","10.33 KB","1.19.2","Forge","Mods, Mobs, Adventure and RPG"
"Improved EXP","ovonsame","/minecraft/mc-mods/improved-exp/download/4834645","981","Jun 17, 2023","Nov 2, 2023","1.05 MB","1.18.2","Forge","Mods, MCreator, Ores and Resources, Storage, Armor, Tools, and Weapons"
"Helpful Commands","ThatsNotM3","/minecraft/mc-mods/helpful-commands/download/4933360","791","Jun 17, 2023","Dec 24, 2023","376.06 KB","1.20.3","Quilt Fabric + 1","Mods, Utility & QoL, Server Utility"
"ArmorSkin","izzydotexe","/minecraft/mc-mods/armorskin/download/4616919","1.7K","Jun 17, 2023","Jun 30, 2023","26.99 KB","1.20.1","Fabric","Mods, Map and Information, Utility & QoL, Armor, Tools, and Weapons"
"Gowder","dongudonguri","/minecraft/mc-mods/gowder/download/5034008","525","Jun 17, 2023","Feb 6, 2024","12.30 MB","1.20.1","Forge","Mods, MCreator, Mobs, Adventure and RPG"
"Mięskos Super ores","Miesko","/minecraft/mc-mods/mieskos-super-ores/download/4595049","85","Jun 17, 2023","Jun 18, 2023","105.89 KB","1.16.5","Forge","Mods, MCreator, Ores and Resources"
"glitchworld","TKSN","/minecraft/mc-mods/glitchworld/download/4608768","76","Jun 17, 2023","Jun 25, 2023","345.86 KB","1.12.2","Forge","Mods, Dimensions, Armor, Tools, and Weapons, Food, Biomes, Ores and Resources"
"Glass Axe!","thesuperistguyyt","/minecraft/mc-mods/glass-axe/download/4597516","126","Jun 17, 2023","Jun 19, 2023","16.58 KB","1.19.4","Forge","Mods, Armor, Tools, and Weapons"
"SkinShuffle","itsmineblock11","/minecraft/mc-mods/skinshuffle/download/5061787","6.0K","Jun 17, 2023","Jan 27, 2024","7.25 MB","1.20.4","Fabric","Mods, Utility & QoL, Cosmetic"
"ObsidianManyTools","HARDMVN","/minecraft/mc-mods/obsidianmanytools/download/4601020","42","Jun 17, 2023","Jun 21, 2023","11.12 MB","1.16.5","Forge","Mods, Ores and Resources, Armor, Tools, and Weapons"
"Scoreboard Fix","talstoj","/minecraft/mc-mods/scoreboard-fix/download/4592525","90","Jun 17, 2023","Jun 17, 2023","977.58 KB","1.8.9","Forge","Mods, Utility & QoL"
"Enhanced P2P","Cyber","/minecraft/mc-mods/enhancedp2p/download/4815198","107.3K","Jun 17, 2023","Oct 24, 2023","125.41 KB","1.12.2","Forge","Mods, Applied Energistics 2"
"JEI Recipes and Uses","Junny","/minecraft/mc-mods/jei-recipes-and-uses/download/4595475","2.6K","Jun 17, 2023","Jun 18, 2023","966.92 KB","1.18.2","Forge","Mods, Miscellaneous, Utility & QoL, Education, Armor, Tools, and Weapons"
"Actual Cherries (Fabric/Quilt)","minecartman010","/minecraft/mc-mods/actual-cherries-fabric-quilt/download/4592331","132","Jun 17, 2023","Jun 17, 2023","14.76 KB","1.20","Quilt Fabric + 1","Mods, Food"
"Advanced Backups","HeatherWhite","/minecraft/mc-mods/advanced-backups/download/4913301","63.4K","Jun 17, 2023","Nov 30, 2023","300.50 KB","1.20.2","NeoForge","Mods, Utility & QoL, Server Utility"
"Nether Bombs!","lexuigi","/minecraft/mc-mods/nether-bombs/download/4755657","790","Jun 17, 2023","Sep 17, 2023","580.85 KB","1.20.1","Forge","Mods, Miscellaneous, Farming, Magic"
"AdminShop Overhauled","ammoniumx","/minecraft/mc-mods/adminshop/download/5078775","36.3K","Jun 17, 2023","Feb 3, 2024","556.43 KB","1.20.1","Forge","Mods, Server Utility, Automation"
